meta_prompt,obj1,obj2,obj3,obj4,rel1,rel2,synthetic_prompt
a airplane and dog on the left of a banana and on the right of a horse.,airplane,dog,banana,horse,on the left of,on the right of,
a car and airplane over a banana and on a dog.,car,airplane,banana,dog,over,on,
a person and horse under a car and below a chair.,person,horse,car,chair,under,below,
a person and a airplane between dog and chair.,person,airplane,dog,chair,between,,
a dog and chair beneath a banana and on a horse.,dog,chair,banana,horse,beneath,on,
a airplane and chair beneath a dog and on the left of a cat.,airplane,chair,dog,cat,beneath,on the left of,
a person and banana on the left of a airplane and under a car.,person,banana,airplane,car,on the left of,under,
a person and chair beneath a airplane and on a horse.,person,chair,airplane,horse,beneath,on,
a car and a airplane between chair and dog.,car,airplane,chair,dog,between,,
a car and cat on the right of a airplane and below a chair.,car,cat,airplane,chair,on the right of,below,
a person and chair beneath a banana and below a car.,person,chair,banana,car,beneath,below,
a person and a car between chair and horse.,person,car,chair,horse,between,,
a car and a banana in the middle of chair and horse.,car,banana,chair,horse,in the middle of,,
a cat and dog on the right of a horse and on a chair.,cat,dog,horse,chair,on the right of,on,
a person and chair under a horse and below a cat.,person,chair,horse,cat,under,below,
a cat and chair on a horse and above a banana.,cat,chair,horse,banana,on,above,
a person and a dog in the middle of horse and banana.,person,dog,horse,banana,in the middle of,,
a person and dog under a horse and over a cat.,person,dog,horse,cat,under,over,
a car and airplane below a horse and on a cat.,car,airplane,horse,cat,below,on,
a airplane and cat above a banana and over a chair.,airplane,cat,banana,chair,above,over,
a car and banana on the left of a horse and above a airplane.,car,banana,horse,airplane,on the left of,above,
a person and a horse between chair and banana.,person,horse,chair,banana,between,,
a airplane and banana on the right of a dog and beneath a chair.,airplane,banana,dog,chair,on the right of,beneath,
a person and car below a chair and over a airplane.,person,car,chair,airplane,below,over,
a person and a horse among cat and chair.,person,horse,cat,chair,among,,
a car and dog under a horse and on the right of a cat.,car,dog,horse,cat,under,on the right of,
a car and cat above a airplane and below a horse.,car,cat,airplane,horse,above,below,
a car and horse on the right of a banana and above a dog.,car,horse,banana,dog,on the right of,above,
a person and car on the left of a banana and over a chair.,person,car,banana,chair,on the left of,over,
a airplane and banana on the right of a cat and on a horse.,airplane,banana,cat,horse,on the right of,on,
a car and cat over a chair and above a dog.,car,cat,chair,dog,over,above,
a cat and chair above a horse and below a dog.,cat,chair,horse,dog,above,below,
a person and banana above a car and below a cat.,person,banana,car,cat,above,below,
a car and airplane under a chair and above a banana.,car,airplane,chair,banana,under,above,
a person and banana on the right of a cat and over a dog.,person,banana,cat,dog,on the right of,over,
a airplane and chair over a horse and on the left of a dog.,airplane,chair,horse,dog,over,on the left of,
a person and car on the left of a chair and on the right of a banana.,person,car,chair,banana,on the left of,on the right of,
a car and horse on the left of a airplane and on the right of a chair.,car,horse,airplane,chair,on the left of,on the right of,
a car and cat on the left of a banana and on a chair.,car,cat,banana,chair,on the left of,on,
a car and dog below a horse and on the left of a airplane.,car,dog,horse,airplane,below,on the left of,
a person and a dog in the middle of cat and chair.,person,dog,cat,chair,in the middle of,,
a car and a horse in the middle of chair and banana.,car,horse,chair,banana,in the middle of,,
a car and banana beneath a horse and over a cat.,car,banana,horse,cat,beneath,over,
a car and dog over a cat and on the right of a chair.,car,dog,cat,chair,over,on the right of,
a car and chair below a horse and on the left of a banana.,car,chair,horse,banana,below,on the left of,
a person and a dog in the middle of banana and cat.,person,dog,banana,cat,in the middle of,,
a person and horse on the right of a cat and below a airplane.,person,horse,cat,airplane,on the right of,below,
a person and dog above a horse and on a airplane.,person,dog,horse,airplane,above,on,
a cat and a chair in the middle of horse and banana.,cat,chair,horse,banana,in the middle of,,
a person and a banana in the middle of dog and car.,person,banana,dog,car,in the middle of,,
a car and airplane above a horse and on the right of a dog.,car,airplane,horse,dog,above,on the right of,
a car and chair on a cat and under a airplane.,car,chair,cat,airplane,on,under,
a cat and banana on the left of a dog and over a chair.,cat,banana,dog,chair,on the left of,over,
a person and chair on the right of a dog and beneath a banana.,person,chair,dog,banana,on the right of,beneath,
a person and cat on the left of a airplane and on the right of a dog.,person,cat,airplane,dog,on the left of,on the right of,
a person and horse beneath a dog and on a car.,person,horse,dog,car,beneath,on,
a airplane and horse on the right of a dog and on a cat.,airplane,horse,dog,cat,on the right of,on,
a person and horse over a cat and above a car.,person,horse,cat,car,over,above,
a airplane and banana under a dog and over a chair.,airplane,banana,dog,chair,under,over,
a person and car over a dog and beneath a horse.,person,car,dog,horse,over,beneath,
a car and a cat in the middle of banana and chair.,car,cat,banana,chair,in the middle of,,
a person and cat on the right of a car and below a horse.,person,cat,car,horse,on the right of,below,
